,trial_num,method_num,delim_size,space
0,0.0,0.0,0.0,19781.0
1,0.0,1.0,0.0,35781.0
2,0.0,2.0,0.0,12781.0
3,1.0,0.0,0.0,19731.0
4,1.0,1.0,0.0,35731.0
5,1.0,2.0,0.0,12731.0
6,2.0,0.0,0.0,19809.0
7,2.0,1.0,0.0,35809.0
8,2.0,2.0,0.0,12809.0
9,0.0,0.0,1.0,20222.1875
10,0.0,1.0,1.0,36712.375
11,0.0,2.0,1.0,13723.60546875
12,1.0,0.0,1.0,20270.09375
13,1.0,1.0,1.0,36766.1875
14,1.0,2.0,1.0,13771.802734375
15,2.0,0.0,1.0,20401.09375
16,2.0,1.0,1.0,36897.1875
17,2.0,2.0,1.0,13902.802734375
18,0.0,0.0,2.0,18976.6875
19,0.0,1.0,2.0,34156.375
20,0.0,2.0,2.0,13773.07421875
21,1.0,0.0,2.0,19286.34375
22,1.0,1.0,2.0,34813.6875
23,1.0,2.0,2.0,13930.630859375
24,2.0,0.0,2.0,19402.34375
25,2.0,1.0,2.0,34927.6875
26,2.0,2.0,2.0,14044.630859375
27,0.0,0.0,3.0,14615.84375
28,0.0,1.0,3.0,25455.6875
29,0.0,2.0,3.0,12029.662109375
30,1.0,0.0,3.0,14678.84375
31,1.0,1.0,3.0,25518.6875
32,1.0,2.0,3.0,12092.662109375
33,2.0,0.0,3.0,14636.84375
34,2.0,1.0,3.0,25473.6875
35,2.0,2.0,3.0,12047.662109375
36,0.0,0.0,4.0,10592.25
37,0.0,1.0,4.0,17373.5
38,0.0,2.0,4.0,10500.453125
39,1.0,0.0,4.0,10587.25
40,1.0,1.0,4.0,17364.5
41,1.0,2.0,4.0,10491.453125
42,2.0,0.0,4.0,10114.375
43,2.0,1.0,4.0,16473.75
44,2.0,2.0,4.0,10207.1484375
45,0.0,0.0,5.0,8535.46875
46,0.0,1.0,5.0,13260.9375
47,0.0,2.0,5.0,10054.638671875
48,1.0,0.0,5.0,8481.46875
49,1.0,1.0,5.0,13206.9375
50,1.0,2.0,5.0,10000.638671875
51,2.0,0.0,5.0,8454.46875
52,2.0,1.0,5.0,13179.9375
53,2.0,2.0,5.0,9973.638671875
54,0.0,0.0,6.0,7763.0
55,0.0,1.0,6.0,11763.0
56,0.0,2.0,6.0,10325.5
57,1.0,0.0,6.0,7791.0
58,1.0,1.0,6.0,11791.0
59,1.0,2.0,6.0,10353.5
60,2.0,0.0,6.0,7598.0
61,2.0,1.0,6.0,11473.0
62,2.0,2.0,6.0,10215.1875
63,0.0,0.0,7.0,7667.5
64,0.0,1.0,7.0,11605.0
65,0.0,2.0,7.0,10976.09375
66,1.0,0.0,7.0,7878.0
67,1.0,1.0,7.0,11878.0
68,1.0,2.0,7.0,11159.25
69,2.0,0.0,7.0,7590.0
70,2.0,1.0,7.0,11465.0
71,2.0,2.0,7.0,10925.9375
72,0.0,0.0,8.0,7908.25
73,0.0,1.0,8.0,12064.5
74,0.0,2.0,8.0,11839.890625
75,1.0,0.0,8.0,7955.5
76,1.0,1.0,8.0,12135.0
77,1.0,2.0,8.0,11865.46875
78,2.0,0.0,8.0,7981.5
79,2.0,1.0,8.0,12169.0
80,2.0,2.0,8.0,11899.46875
81,0.0,0.0,9.0,8350.125
82,0.0,1.0,9.0,12928.25
83,0.0,2.0,9.0,12815.9453125
84,1.0,0.0,9.0,8379.5
85,1.0,1.0,9.0,12942.0
86,1.0,2.0,9.0,12852.15625
87,2.0,0.0,9.0,8394.125
88,2.0,1.0,9.0,12972.25
89,2.0,2.0,9.0,12859.9453125
90,0.0,0.0,10.0,8867.25
91,0.0,1.0,10.0,13888.5
92,0.0,2.0,10.0,13843.578125
93,1.0,0.0,10.0,8829.25
94,1.0,1.0,10.0,13860.5
95,1.0,2.0,10.0,13815.578125
96,2.0,0.0,10.0,8670.25
97,2.0,1.0,10.0,13701.5
98,2.0,2.0,10.0,13656.578125
99,0.0,0.0,11.0,9359.71875
100,0.0,1.0,11.0,14871.4375
101,0.0,2.0,11.0,14854.591796875
102,1.0,0.0,11.0,9215.71875
103,1.0,1.0,11.0,14727.4375
104,1.0,2.0,11.0,14710.591796875
105,2.0,0.0,11.0,9238.625
106,2.0,1.0,11.0,14743.25
107,2.0,2.0,11.0,14720.7890625
108,0.0,0.0,12.0,9704.90625
109,0.0,1.0,12.0,15696.8125
110,0.0,2.0,12.0,15691.197265625
111,1.0,0.0,12.0,9652.859375
112,1.0,1.0,12.0,15634.71875
113,1.0,2.0,12.0,15626.2958984375
114,2.0,0.0,12.0,9779.90625
115,2.0,1.0,12.0,15783.8125
116,2.0,2.0,12.0,15778.197265625
117,0.0,0.0,13.0,10381.0
118,0.0,1.0,13.0,16868.0
119,0.0,2.0,13.0,16868.0
120,1.0,0.0,13.0,10329.0
121,1.0,1.0,13.0,16829.0
122,1.0,2.0,13.0,16829.0
123,2.0,0.0,13.0,10244.0
124,2.0,1.0,13.0,16731.0
125,2.0,2.0,13.0,16731.0
126,0.0,0.0,14.0,10678.0
127,0.0,1.0,14.0,17664.0
128,0.0,2.0,14.0,17664.0
129,1.0,0.0,14.0,10693.0
130,1.0,1.0,14.0,17679.0
131,1.0,2.0,14.0,17679.0
132,2.0,0.0,14.0,10802.0
133,2.0,1.0,14.0,17802.0
134,2.0,2.0,14.0,17802.0
135,0.0,0.0,15.0,11221.0
136,0.0,1.0,15.0,18706.0
137,0.0,2.0,15.0,18706.0
138,1.0,0.0,15.0,11238.0
139,1.0,1.0,15.0,18708.0
140,1.0,2.0,15.0,18708.0
141,2.0,0.0,15.0,11314.0
142,2.0,1.0,15.0,18814.0
143,2.0,2.0,15.0,18814.0
